178957,"ABEL MESQUITA JR.","DEM","RR","http://www.camara.gov.br/internet/deputado/bandep/178957.jpg","depabelmesquita","3215-5248","dep.abelmesquitajr@camara.gov.br"
178864,"ADAIL CARNEIRO","PODE","CE","http://www.camara.gov.br/internet/deputado/bandep/178864.jpg","adail12321","3215-5335","dep.adailcarneiro@camara.gov.br"
178914,"ADALBERTO CAVALCANTI","AVANTE","PE","http://www.camara.gov.br/internet/deputado/bandep/178914.jpg",NA,"3215-5402","dep.adalbertocavalcanti@camara.gov.br"
178890,"ADELMO CARNEIRO LEÃO","PT","MG","http://www.camara.gov.br/internet/deputado/bandep/178890.jpg","deputadoadelmo","3215-5231","dep.adelmocarneiroleao@camara.gov.br"
178968,"ADELSON BARRETO","PR","SE","http://www.camara.gov.br/internet/deputado/bandep/178968.jpg","adelson_barreto","3215-5937","dep.adelsonbarreto@camara.gov.br"
133374,"ADEMIR CAMILO","MDB","MG","http://www.camara.gov.br/internet/deputado/bandep/133374.jpg","depademircamilo","3215-5556","dep.ademircamilo@camara.gov.br"
178903,"ADILTON SACHETTI","PRB","MT","http://www.camara.gov.br/internet/deputado/bandep/178903.jpg","adiltonsachetti","3215-5374","dep.adiltonsachetti@camara.gov.br"
141372,"AELTON FREITAS","PR","MG","http://www.camara.gov.br/internet/deputado/bandep/141372.jpg","aeltonfreitasmg","3215-5204","dep.aeltonfreitas@camara.gov.br"
160508,"AFONSO FLORENCE","PT","BA","http://www.camara.gov.br/internet/deputado/bandep/160508.jpg","AfonsoFlorence ‏","3215-5305","dep.afonsoflorence@camara.gov.br"
136811,"AFONSO HAMM","PP","RS","http://www.camara.gov.br/internet/deputado/bandep/136811.jpg","depafonsohamm","3215-5604","dep.afonsohamm@camara.gov.br"
178835,"AFONSO MOTTA","PDT","RS","http://www.camara.gov.br/internet/deputado/bandep/178835.jpg","afonso_motta","3215-5711","dep.afonsomotta@camara.gov.br"
160527,"AGUINALDO RIBEIRO","PP","PB","http://www.camara.gov.br/internet/deputado/bandep/160527.jpg","aguinaldo1111","3215-5735","dep.aguinaldoribeiro@camara.gov.br"
178836,"ALAN RICK","DEM","AC","http://www.camara.gov.br/internet/deputado/bandep/178836.jpg","Alan_Rick","3215-5650","dep.alanrick@camara.gov.br"
160582,"ALBERTO FILHO","PP","MA","http://www.camara.gov.br/internet/deputado/bandep/160582.jpg","DepAlbertofilho","3215-5202","dep.albertofilho@camara.gov.br"
73579,"ALBERTO FRAGA","DEM","DF","http://www.camara.gov.br/internet/deputado/bandep/73579.jpg","alberto_fraga","3215-5511","dep.albertofraga@camara.gov.br"
160559,"ALCEU MOREIRA","MDB","RS","http://www.camara.gov.br/internet/deputado/bandep/160559.jpg","Alceu_Moreira","3215-5238","dep.alceumoreira@camara.gov.br"
160511,"ALESSANDRO MOLON","PSB","RJ","http://www.camara.gov.br/internet/deputado/bandep/160511.jpg","AlessandroMolon","3215-5652","dep.alessandromolon@camara.gov.br"
73458,"ALEX CANZIANI","PTB","PR","http://www.camara.gov.br/internet/deputado/bandep/73458.jpg","CanzianiAlex","3215-5842","dep.alexcanziani@camara.gov.br"
178972,"ALEX MANENTE","PPS","SP","http://www.camara.gov.br/internet/deputado/bandep/178972.jpg","alexmanentepps","3215-5245","dep.alexmanente@camara.gov.br"
178875,"ALEXANDRE BALDY","PP","GO","http://www.camara.gov.br/internet/deputado/bandep/178875.jpg","alexandrebaldy","3215-5441","dep.alexandrebaldy@camara.gov.br"
